Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
11/23/21,680.25,699.75,680.25,680,2,4,2760
11/22/21,680,680,680,680,1,303,206040
11/19/21,698,700,680,680,5,17,11638
11/17/21,656,680,656,680,6,788,535758.5
11/16/21,680,680,650,675,17,635,421338
11/15/21,676,676,676,697,2,60,40560
11/12/21,678,702,675,697,4,49,33134.75
11/10/21,707,707,707,697,1,1,707
11/9/21,708,708,680.25,697,7,334,232884.5
11/8/21,685,685,685,685,1,200,137000
11/2/21,690,690,690,680.5,1,1,690
11/1/21,700,700,690,680.5,3,4,2780
10/29/21,699.75,700,699.75,680.5,2,21,14699.75
10/28/21,678.25,680,678.25,680.5,2,51,34592.5
10/27/21,713.5,713.5,710,680.5,6,89,63479
10/25/21,682.25,682.25,680,680.5,14,693,471606.25
10/22/21,700,700,700,699.75,4,14,9800
10/21/21,682,682,682,699.75,1,1,682
10/15/21,715,715,681,699.75,4,85,57964
10/14/21,681,681,681,699.75,1,1,681
10/12/21,680,714,680,699.75,4,14,9655.25
10/11/21,715,715,685,699.75,8,502,351547
10/7/21,685,685,685,687,1,1,685
10/6/21,687.25,687.25,687.25,687,1,1,687.25
10/4/21,687,687,687,687,3,7,4809
10/1/21,685,719.75,685,687,5,163,111960
9/30/21,709,713,700,711,11,226,160490.75
9/29/21,700,710,700,701.5,5,7,4946
9/28/21,712,712,712,701.5,2,3,2136
9/27/21,702,710,702,701.5,2,89,63030
9/24/21,702,702,702,701.5,2,46,32292
9/23/21,701.25,702,701.25,701.5,4,100,70139
9/22/21,698.5,700,698.5,700,5,67,46876.25
9/17/21,688,688,688,700,2,47,32336
9/16/21,697,697,688,700,7,55,38299
9/15/21,675.5,675.75,675.5,700,2,3,2027
9/14/21,697,697,697,700,2,2,1394
9/13/21,675.75,699,675.75,700,2,2,1374.75
9/9/21,700,700,700,700,4,131,91700
9/7/21,702,702,700,700,2,106,74212
9/6/21,716,720,675,716,23,541,387321
9/3/21,698.5,698.5,697.5,675.5,2,3,2093.5
9/2/21,670.5,690,670.5,675.5,11,870,587603.75
9/1/21,698,698,670.25,698.5,9,46,31405
8/31/21,697,697.75,697,698.5,5,6,4185.5
8/30/21,670.5,697.75,670.25,698.5,7,41,28058.5
8/27/21,699,699,680.5,698.5,7,24,16570.5
8/26/21,700,700,675,698.5,9,123,85913
8/25/21,699.25,700,668,673.25,5,133,89792.5
8/24/21,680,680,670,699.25,4,8,5388
8/23/21,680,680,670,699.25,4,23,15430
8/20/21,665,680,665,699.25,4,57,37935
8/19/21,670,672,670,699.25,2,7,4694
8/18/21,672,672,670,699.25,2,2,1342
8/13/21,672,672,672,699.25,2,2,1344
8/12/21,675,675,675,699.25,1,8,5400
8/11/21,694.5,695,694.5,699.25,4,90,62520
8/10/21,676,676,676,699.25,1,2,1352
8/9/21,677.25,677.25,675,699.25,4,47,31770.25
8/6/21,698,698,698,699.25,3,15,10470
8/5/21,677.25,677.25,677.25,699.25,2,2,1354.5
8/3/21,678,678,678,699.25,1,10,6780
8/2/21,676.25,698.75,676.25,699.25,2,2,1375
7/30/21,676,676,676,699.25,1,5,3380
7/29/21,673,673,673,699.25,1,1,673
7/28/21,671,699,671,699.25,3,18,12498
7/27/21,670,670,670,699.25,1,7,4690
7/26/21,690,690,660,699.25,6,71,47647.5
7/22/21,690,690,690,699.25,1,1,690
7/20/21,699,699,690,699.25,2,23,15879
7/19/21,700,700,690,699.25,7,104,72730
7/16/21,698,700,698,672.25,5,80,55963
7/13/21,670,670,670,672.25,1,1,670
7/12/21,672.25,672.25,672.25,672.25,3,139,93442.75
7/8/21,670,689,670,670.25,4,498,333727
7/7/21,668,668,668,670,2,39,26052
7/6/21,675,675,670,670,17,34850,23350052
7/2/21,680,680,675,675.25,4,156,105342.5
6/30/21,710,711.25,672,710.75,15,200,142150.5
6/29/21,684,700,684,698,11,200,139509.5
6/28/21,679.5,699.5,679.5,692.5,19,533,365923
6/25/21,653.5,679.5,653.5,660.25,3,5,3371.5
6/22/21,665,679.75,660,660.25,7,1616,1067001
6/21/21,660,680,660,670.75,6,435,290679.5
6/18/21,660,660,660,660,3,155,102300
6/16/21,665,668,665,660,2,4,2663
6/11/21,652,652,652,660,1,13,8476
6/10/21,680,680,660,660,7,129,85160
6/9/21,660,660,660,660,3,4,2640
6/8/21,661.5,661.5,661.5,660,1,10,6615
6/7/21,661.25,665,661.25,660,2,51,33911.25
6/4/21,675,675,675,660,2,37,24975
6/3/21,660,660,660,660,4,111,73260
6/2/21,662,675,645,651.25,13,241,156961
6/1/21,675,675,675,675,7,186,125550
5/28/21,660,675,660,641.5,5,38,25227.5
5/25/21,640,640,640,641.5,1,1,640
5/24/21,670,670,670,641.5,1,10,6700
5/21/21,670,670,632.25,641.5,8,46,30380.75
5/20/21,655,670,655,641.5,2,8,5255
5/19/21,660,660,660,641.5,2,20,13200
5/18/21,660,660,660,641.5,2,20,13200
5/17/21,660,665,660,641.5,2,63,41830
5/4/21,650,650,642,641.5,2,2,1292
4/29/21,640.25,641.5,640.25,641.5,2,202,129580.5
4/27/21,675.75,675.75,650,650,2,103,67027.25
4/22/21,636,676,636,636.75,6,17,11252.5
4/21/21,641,642,636,636.75,4,12,7688
4/20/21,676.25,676.25,660,636.75,2,2,1336.25
4/19/21,676,676.75,675.75,636.75,4,28,18946.75
4/16/21,670,670,650,636.75,4,53,34510
4/15/21,676.75,676.75,676.75,636.75,1,1,676.75
4/9/21,675,675,675,636.75,2,2,1350
4/7/21,674.75,674.75,674.75,636.75,2,5,3373.75
4/5/21,641.25,641.25,641.25,636.75,1,22,14107.5
4/1/21,650,650,641,636.75,9,22,14200.25
3/31/21,641,650,641,636.75,7,56,35915.25
3/30/21,678.25,678.25,678.25,636.75,2,2,1356.5
3/29/21,651,651,650,636.75,2,5,3251
3/26/21,679,679,650,636.75,4,4,2686.5
3/24/21,679.5,679.5,679.5,636.75,1,1,679.5
3/22/21,638,638,636,636.75,4,34,21644
3/19/21,640,640,640,636.75,1,30,19200
3/18/21,640,640,640,636.75,1,8,5120
3/17/21,640,640,640,636.75,1,1,640
3/16/21,651.25,651.25,625,636.75,17,350,224070.25
3/15/21,680,680,680,650,1,2,1360
3/12/21,651,651,651,650,3,5,3255
3/10/21,650,688.25,650,650,2,2,1338.25
3/9/21,650.25,650.25,650,650,7,165,107252.5
3/8/21,652,689.75,652,687,15,168,114847.75
3/5/21,675,675,674.5,652,2,81,54665
3/4/21,651.75,675.25,651.75,652,2,11,7192.75
3/2/21,679.75,679.75,652.75,652,3,24,16191
3/1/21,679.75,680,679.75,652,3,25,16999
2/25/21,651.5,651.5,651.5,652,1,5,3257.5
2/23/21,653.25,654,651.25,652,8,59,38530.5
2/19/21,652,652,652,652,7,200,130400
2/18/21,676,676,651,675,5,29,18968.5
2/17/21,655,657,655,675,4,50,32772
2/16/21,655,655,655,675,1,2,1310
2/12/21,650,676,650,675,9,54,36173
2/11/21,676,676,651,675,4,5,3280
2/10/21,652,676,652,675,4,7,4639
2/9/21,675.25,676,650.5,675,16,871,585406.5
2/8/21,698,698,675.25,675.25,3,139,94041.75
2/5/21,669,679,650,654,62,542,354746
2/3/21,699,699,662,667.75,14,220,146869.5
2/2/21,680,680,670,671.5,15,187,125561
2/1/21,679,699,678,679.25,12,144,97803.5
1/29/21,690.5,700,678,679.25,20,585,401161.5
1/27/21,696,697,690,691.5,12,213,147623
1/26/21,699,700,679,681.75,9,86,59447.25
1/25/21,682.25,700,678,681.75,26,659,449238.75
1/22/21,700,700,678,682.25,24,283,194931.25
1/21/21,682,700,680,697.25,15,172,119391.75
1/20/21,690,704.75,680,681,14,651,447839.25
1/19/21,682,710,680,683.75,19,317,216725.5
1/18/21,684,699.5,680.5,684.5,10,74,50447.25
1/15/21,684.25,684.5,680,684.5,23,411,280477.75
1/13/21,682.5,685.25,682.5,685.25,16,198,135622.5
1/12/21,691.25,709.75,680,682,18,172,117301
1/11/21,691,691,691,688.6,1,1,691
1/8/21,686,700,681.25,688.6,7,54,37062.5
1/7/21,686.1,690,686.1,688.6,4,86,59047.5
1/6/21,687,710,687,688.6,14,322,221720
1/5/21,686.1,686.1,686.1,686.7,1,7,4802.7
1/4/21,685.5,710,681.5,686.7,20,298,204629.1
12/31/20,710,710,685,688.4,20,157,108099.3
12/30/20,709,709,709,690.8,1,2,1418
12/28/20,710,710,690,690.8,5,261,180520
12/24/20,683,709.9,683,702.6,2,4,2812.7
12/23/20,706,706,681.1,702.6,9,145,101887.2
12/22/20,706.1,706.1,706.1,719.8,2,5,3530.5
12/21/20,719.9,719.9,719.9,719.8,1,1,719.9
12/18/20,703,720.8,703,719.8,4,13,9180.6
12/17/20,719.8,720,718.9,719.8,19,151,108694.2
12/16/20,703,719.9,703,702.7,5,14,9865
12/15/20,719.9,719.9,719.9,702.7,1,1,719.9
12/14/20,719,719.9,705,702.7,4,11,7843.5
12/11/20,703,719,703,702.7,3,7,4987
12/10/20,702,719.9,702,702.7,6,139,97676.5
12/9/20,690.2,710,690,699.9,8,2862,2003226
12/8/20,690.2,690.2,690.2,692.7,1,1,690.2
12/7/20,690,700,680.9,692.7,15,283,195759.5
12/4/20,700,700,700,700,1,1250,875000
12/3/20,700,700,690,690.1,10,166,114928
12/2/20,695,700,692,700,5,53,36724
12/1/20,700,700,700,700,3,12,8400
11/30/20,699.9,700,695,700,4,36,25039.7
11/27/20,699,700,691.1,700,15,7359,5151179.3
11/26/20,700,700,700,704.4,3,9,6300
11/25/20,700,710,700,704.4,16,445,313477
11/23/20,685,685.1,685,699.9,3,22,15070.2
11/20/20,685,697.9,685,699.9,8,54,37402.3
11/19/20,690,700,690,699.9,10,152,106379.7
11/18/20,690.1,690.1,690,675.2,3,12,8280.2
11/17/20,677,700,675,675.2,6,394,266034.3
11/16/20,709,709,682,700,16,63,43120.2
11/13/20,700,700,662,700,8,55,38303
11/12/20,718,720,700,700,7,133,93628
11/11/20,718,720,718,706.3,4,73,52510
11/10/20,706.4,706.4,706.4,706.3,12,75,52980
11/9/20,700,744,700,706.3,27,862,612492.2
11/6/20,700,720,700,701.6,78,3023,2121120
11/5/20,705,705,700,701,28,702,492065
11/4/20,700,709.8,700,700,22,307,215105.8
11/3/20,699.9,709.9,699.9,700,39,633,443213.3
11/2/20,670,715.5,663,699.8,33,416,289102.3
10/29/20,664,665,664,702.8,6,34,22599
10/28/20,640.2,660,640.2,702.8,2,11,7081.8
10/26/20,676.1,676.1,650.1,702.8,7,13,8565.4
10/23/20,702.9,702.9,699.9,702.8,5,104,73089.6
10/22/20,650,650,650,676.1,1,5,3250
10/21/20,665,680,665,676.1,4,356,240675
10/19/20,690,695,634.7,667.6,13,195,131956.3
10/16/20,699,699,672,689.8,17,103,71048.2
10/7/20,664.9,665,664.9,669.5,3,6,3989.6
10/6/20,660,660,650,669.5,4,7,4560.6
10/5/20,671,671,665,669.5,7,21,14070.5
10/2/20,676.8,676.8,670,669.5,2,4,2700.4
9/30/20,698.9,698.9,698.9,669.5,1,10,6989
9/29/20,669,799,665,669.5,26,1750,1171537.5
9/28/20,650,669,637,665,6,39,24951
9/25/20,670,670,670,665,1,2,1340
9/24/20,670,670,665,665,2,51,34165
9/23/20,660,665,660,665,7,206,136885
9/22/20,659.9,659.9,659.9,655.9,2,32,21116.8
9/18/20,679.9,679.9,679.9,655.9,1,1,679.9
9/16/20,650.1,650.1,650.1,655.9,1,5,3250.5
9/15/20,665,665,665,655.9,3,9,5985
9/14/20,665,685,665,655.9,5,21,13985
9/11/20,660,660,653,655.9,8,123,80716
9/10/20,653,653.5,653,653,6,304,198524.5
9/8/20,665,665,660,666.3,3,22,14525.1
9/7/20,666.5,666.5,666,666.3,4,146,97286
9/4/20,664.8,665,664.8,665,3,207,137645
9/3/20,668,668,668,666.8,1,20,13360
9/2/20,662,675,662,666.8,17,105,70016.3
8/28/20,663.4,663.4,663.4,631.7,1,2,1326.8
8/27/20,631.3,631.7,631.3,631.7,9,124,78321.2
8/26/20,659.9,659.9,650,659,9,275,181225
8/25/20,631,631,631,631,4,222,140082
8/24/20,631,631,630.9,626,4,11,6940.4
8/21/20,659,659,630.8,626,5,16,10130.8
8/20/20,660,660,660,626,1,13,8580
8/18/20,659.9,659.9,659.9,626,1,25,16497.5
8/17/20,659.5,665,659.5,626,8,44,29209
8/14/20,664,665,635.4,626,6,50,32953
8/13/20,640,665,630,626,9,65,42181
8/11/20,629,642.9,628.7,626,3,3,1900.6
8/10/20,643,643,629,626,3,8,5103
8/7/20,643.5,643.5,626,626,7,245,154159.2
8/5/20,639.5,639.5,639.5,647.5,1,1,639.5
7/30/20,630,630,630,647.5,1,76,47880
7/28/20,641.9,641.9,641.9,647.5,1,1,641.9
7/27/20,635,635,635,647.5,1,3,1905
7/24/20,641.9,641.9,620,647.5,3,3,1896.9
7/23/20,600,620,600,647.5,10,78,46880
7/22/20,630,630,630,647.5,6,31,19530
7/21/20,630,630,630,647.5,1,2,1260
7/20/20,648,650,630,647.5,13,102,66043.2
7/17/20,594,594,590,590.4,13,301,177702.2
7/16/20,592,592,592,593,1,1,592
7/15/20,625,625,591,593,11,372,221131
7/14/20,649.8,649.8,649.8,606.6,1,1,649.8
7/13/20,615.3,615.4,602.5,606.6,5,151,91632.8
7/10/20,620,650,615.3,615.7,3,7,4381.2
7/8/20,615.4,649.9,615.4,615.7,8,304,187185.1
7/3/20,615.3,650,615.3,625,2,3,1915.3
7/2/20,625,698,625,625,2,23,14740
7/1/20,675,698,675,625,2,20,13891
6/29/20,692.9,692.9,692.9,625,2,50,34645
6/25/20,630,630,619,625,6,50,31096
6/24/20,630,630,630,625,1,1,630
6/19/20,625,630,625,625,3,141,88130
6/18/20,620,625,620,623.3,5,123,76670
6/17/20,620,620,620,620,1,1,620
6/16/20,620,621,619,620,4,102,63240
6/12/20,627,627,627,627.4,2,20,12540
6/11/20,627.5,627.5,627.5,627.4,1,3,1882.5
6/10/20,629,630,620,627.4,8,128,80301.7
6/9/20,628,630,620,629.4,5,105,66087.8
6/8/20,600,666,600,611.8,11,231,141320
6/3/20,600,600,600,599.7,1,20,12000
6/2/20,595,600,595,599.7,10,210,125665
6/1/20,595,595,595,595.4,1,19,11305
5/29/20,600,600,575,595.4,3,22,12900
5/28/20,595,630.8,595,595.4,6,211,125630.8
5/27/20,580,595,580,561.4,6,46,27250
5/26/20,560,575,560,561.4,2,110,61750
5/18/20,600,600,600,536.5,1,1,600
5/15/20,535,535,535,536.5,2,11,5885
5/14/20,500.5,500.5,500.5,536.5,2,30,15015
5/13/20,576.8,576.8,576.8,536.5,1,2,1153.6
5/12/20,510,540,510,536.5,6,241,129262
3/20/20,518,518,518,531,1,10,5180
3/13/20,517,517,517,531,2,29,14993
3/12/20,530,530,520.1,531,5,51,27020.1
3/11/20,530,530,530,531,5,35,18550
3/10/20,531,531,531,531,2,100,53100
3/5/20,553,559,550,551.4,11,276,152444.5
3/4/20,555,555,555,553.3,3,10,5550
3/2/20,564,564,564,553.3,1,2,1128
2/27/20,579.5,579.5,579.5,553.3,1,3,1738.5
2/26/20,551,551,551,553.3,3,5,2755
2/25/20,580,580,580,553.3,1,1,580
2/13/20,551,551,550.1,553.3,4,10,5504.6
2/12/20,578,578,578,553.3,1,6,3468
2/7/20,555,555,550,553.3,6,312,172628
2/6/20,550.1,550.1,550.1,550.1,1,24,13202.4
2/3/20,550,550,550,550.1,1,21,11550
1/31/20,551,551,550,550.1,12,334,183779.5
1/30/20,555,555,550,551,13,866,477125
1/29/20,560,560,552,553.6,4,11,6082
1/27/20,552,579.8,552,553.6,3,159,88018.2
1/24/20,552,552,552,550.2,1,1,552
1/23/20,584.5,584.5,584.5,550.2,2,50,29225
1/20/20,551.1,551.1,550,550.2,8,500,275116
1/16/20,585,585,585,585,1,100,58500
1/14/20,555.1,555.2,550,555,9,203,112667.7
1/9/20,550,550,550,550.1,1,83,45650
1/8/20,565,565,550,550.1,6,287,158230
1/7/20,566.1,566.1,565,568.3,4,33,18678
1/3/20,570,570,567,568.3,7,316,179940
12/31/19,570,585,570,574.8,4,48,27870
12/30/19,567,570,567,574.8,5,47,26781
12/27/19,575,575,567,574.8,4,193,110951
12/26/19,577,577,577,577,2,2010,1159770
12/23/19,565,565,565,576.9,1,50,28250
12/17/19,587.5,587.5,587.5,576.9,1,1,587.5
12/10/19,588.7,589,588.7,576.9,4,40,23553.4
12/6/19,575,585,575,576.9,6,125,72110
12/5/19,590,590,575,561.7,2,6,3465
12/4/19,590,590,589.9,561.7,5,28,16519.3
12/3/19,590,590,590,561.7,2,18,10620
12/2/19,562,598,560,561.7,11,1246,699911.6
11/29/19,575,575,575,575,5,426,244950
11/28/19,576,576,575,575.9,10,592,340942
11/27/19,596.1,596.1,596,560,2,16,9537.5
11/25/19,596,596,596,560,1,1,596
11/22/19,596,596,596,560,1,1,596
11/21/19,599,599,573,560,3,20,11562
11/20/19,570,599,570,560,4,12,6927
11/18/19,599,599,599,560,2,84,50316
11/15/19,599,599,590,560,5,76,44930.1
11/14/19,599,600,599,560,3,58,34796
11/13/19,600,600,595,560,2,60,35800
11/7/19,590.1,590.1,590.1,560,3,24,14162.4
11/6/19,600,600,590,560,5,73,43159
11/5/19,585,598,585,560,7,80,47320.5
10/31/19,580,580,580,560,1,1,580
10/30/19,550.1,584,550.1,560,5,18,9969.6
10/28/19,583.9,583.9,583.9,560,2,7,4087.3
10/28/19,583.9,583.9,583.9,560,2,7,4087.3
10/21/19,549.9,560,549.9,560,3,101,56549.9
10/18/19,552,552,480,510.3,20,310,155214.8
10/17/19,551,551.5,551,552,5,54,29756.1
10/16/19,551.1,585,551,552,6,103,56854.7
10/15/19,551.1,551.1,551.1,570.1,1,1,551.1
10/2/19,585,585,585,570.1,1,8,4680
9/30/19,570,570,570,570.1,1,20,11400
9/25/19,585,585,585,570.1,1,5,2925
9/24/19,585,585,585,570.1,2,4,2340
9/18/19,564,564,564,570.1,1,1,564
9/17/19,565,565,565,570.1,3,25,14125
9/12/19,570,570,570,570.1,2,30,17100
9/11/19,577,577,570,570.1,5,127,72401.1
9/10/19,580,580,580,590.5,2,4,2320
9/9/19,580,580,580,590.5,1,1,580
9/6/19,580,580,580,590.5,5,23,13340
9/4/19,597.5,597.5,597.5,590.5,1,1,597.5
9/2/19,594,594,594,590.5,2,7,4158
8/30/19,590,590,590,590.5,1,1,590
8/29/19,594,594,590.5,590.5,2,260,153547.5
8/28/19,594,594,590,590,2,201,118594
8/27/19,562,590,562,560.9,2,4,2304
8/22/19,569.9,569.9,569.9,560.9,1,30,17097
8/21/19,560,560,560,560.9,6,43,24080
8/20/19,569.9,569.9,569.9,560.9,2,20,11398
8/19/19,570,570,560,560.9,5,116,65120
8/16/19,570,570,570,570,1,55,31350
8/15/19,570,570,570,570,7,722,411540
8/13/19,570,570,570,570.1,3,77,43890
8/8/19,570,570,570,570.1,3,3,1710
8/7/19,570,570,570,570.1,4,11,6270
8/6/19,571,571,570,570.1,11,223,127132
8/5/19,589.9,589.9,589.9,570,1,1,589.9
8/2/19,589.9,589.9,589.9,570,1,2,1179.8
8/1/19,589.9,589.9,589.9,570,1,1,589.9
7/31/19,570,570,570,570,14,586,334020
7/30/19,570,570,570,570,7,136,77520
7/29/19,571,571,570,570,10,182,103741
7/26/19,580,580,580,574,1,1,580
7/25/19,560,560,550,574,3,25,13771
7/24/19,575,592,575,574,23,69,39963
7/22/19,600,600,600,574,2,3,1800
7/19/19,599.9,600,599.9,574,3,66,39598.9
7/18/19,599.9,599.9,599.9,574,1,1,599.9
7/12/19,599.9,599.9,599.9,574,1,1,599.9
7/11/19,590,599.9,590,574,2,5,2959.9
7/10/19,600,600,590,574,3,14,8360
7/9/19,550,550,550,574,1,1,550
7/5/19,573.9,577,573.9,574,3,102,58550.9
7/4/19,565,565,565,565,1,177,100005
7/1/19,575,575,575,560,1,5,2875
6/28/19,551,551,551,560,1,1,551
6/27/19,577,577,560,560,5,88,49297
6/26/19,560,560,560,560,3,288,161280
6/25/19,564.8,564.8,564.8,514.9,1,4,2259.2
6/21/19,564.7,564.7,540,514.9,3,14,7881.1
6/20/19,564.9,564.9,564.9,514.9,1,1,564.9
6/19/19,550,550,550,514.9,1,12,6600
6/18/19,565,565,565,514.9,1,2,1130
6/11/19,569.8,569.8,569.6,514.9,3,4,2279
6/6/19,578,578,513,514.9,10,101,52064.9
6/3/19,584.9,584.9,578.9,512.6,2,6,3479.4
5/27/19,528,579,528,512.6,2,15,7971
5/24/19,527.3,528,512.1,512.6,6,222,114071.8
5/23/19,520.1,527.5,510.1,524.8,7,71,36367.4
5/22/19,530,530,530,524.8,1,2,1060
5/21/19,523.8,525,523.8,524.8,12,137,71885.3
5/17/19,515,515.1,510,510.1,9,321,164225.9
5/16/19,513,520,510,510.5,7,500,255400
5/15/19,532,532,522,526.4,5,292,153717.6
5/13/19,540,540,540,531.4,3,68,36720
5/10/19,545,545,540,531.4,3,30,16250
5/9/19,540.5,550,531,531.4,6,184,97798.5
5/8/19,550,550,540,540.1,2,12,6580
5/6/19,540.5,540.5,540,540.1,5,398,214970
5/3/19,552,552,540,540.5,5,402,217292
5/2/19,605,605,605,598.6,1,3,1815
4/30/19,595,595,595,598.6,1,2,1190
4/26/19,570,570,570,598.6,1,1,570
4/18/19,594.9,595,594.9,598.6,2,91,54144.9
4/17/19,595,595,595,598.6,1,1,595
4/2/19,600,600,550.1,598.6,3,103,61654.1
4/1/19,542.1,542.1,542.1,619.9,1,9,4878.9
3/28/19,541,541,541,619.9,1,1,541
3/22/19,585,585,585,619.9,1,10,5850
3/13/19,619.9,613.9,613.9,619.9,1,1,613.9
3/11/19,619.9,614.9,614.9,619.9,1,1,614.9
3/7/19,619.9,585,585,619.9,2,40,23400
3/1/19,619.9,571,571,619.9,1,5,2855
2/26/19,619.9,583,580,619.9,3,16,9310
2/22/19,619.9,600,600,619.9,2,2,1200
2/21/19,619.9,580,580,619.9,1,1,580
2/18/19,619.9,619.9,619.9,619.9,1,1,619.9
2/15/19,619.9,600,600,619.9,2,17,10200
2/14/19,619.9,619.9,619.9,619.9,2,6,3719.4
2/13/19,619.9,619.9,619.9,619.9,2,112,69428.8
2/11/19,619.9,620,619.9,619.9,4,311,192793.5
2/8/19,619.6,620,615,619.6,5,47,29130
2/7/19,619.6,620,615,619.6,14,183,113385
2/6/19,620,621.5,620,620,4,344,213538
2/1/19,619.9,620,620,619.9,2,21,13020
1/31/19,619.9,620,615,619.9,3,235,145675
1/29/19,620,600,600,620,1,1,600
1/11/19,620,620,620,620,1,115,71300
1/8/19,619.9,620,620,619.9,1,10,6200
1/7/19,619.9,620,618,619.9,7,268,166134
1/4/19,619.8,552.1,550,619.8,2,4,2204.2
1/3/19,619.8,619,618,619.8,2,2,1237
1/2/19,619.8,618,618,619.8,2,5,3090
12/28/18,619.8,580,580,619.8,5,11,6380
12/19/18,619.8,620,619.5,619.8,6,171,105992.5
12/17/18,620,620,619.9,620,2,2,1239.9
12/14/18,620,620,620,620,1,2,1240
12/13/18,620,620,620,620,2,14,8680
12/12/18,620,620,620,620,5,35,21700
12/11/18,620,620,619.9,620,6,491,304414.9
12/10/18,620,620,620,620,5,665,412300
12/7/18,620,620,599,620,15,1195,740780
12/6/18,550,550,550,550,1,5,2750
12/5/18,550,589.9,589.9,550,1,1,589.9
12/3/18,550,550,550,550,10,300,165000
11/27/18,567,620,620,567,1,10,6200
11/21/18,567,582,582,567,1,2,1164
11/9/18,567,600,600,567,1,1,600
11/8/18,567,600,600,567,1,1,600
11/7/18,567,599,570,567,2,4,2309
11/1/18,567,600,567,567,9,91,51750
10/31/18,567,567,567,567,1,450,255150
10/30/18,582.4,600,600,582.4,1,1,600
10/29/18,582.4,550.2,550.2,582.4,1,50,27510
10/25/18,582.4,551,550,582.4,4,69,37953
10/23/18,582.4,587,580,582.4,8,231,134536
10/22/18,600,587,587,600,4,25,14675
10/17/18,600,600,581,600,4,13,7610
10/9/18,600,580,580,600,1,1,580
10/8/18,600,600,600,600,1,2,1200
10/5/18,600,600,600,600,2,6,3600
10/4/18,600,605,600,600,6,8048,4828815
10/3/18,552,590,570,552,2,20,11500
9/26/18,555,556,555,552,6,47,26107
9/21/18,552.1,552.1,552,552,3,250,138000.1
9/18/18,598.9,598.9,552,600,3,71,39238.9
9/17/18,600,600,600,600,2,2,1200
9/12/18,600,600,600,600,4,112,67200
9/11/18,600,600,600,600,2,2,1200
9/10/18,600,600,600,600,2,100,60000
9/7/18,600,600,600,619,2,6,3600
9/6/18,571.2,575,570,619,4,5,2862.2
9/4/18,618.9,618.9,618.9,619,1,1,618.9
9/3/18,619,619,619,619,1,1,619
8/30/18,620,620,620,619,1,45,27900
8/29/18,615,618,615,619,2,11,6768
8/28/18,619,621,619,619,2,617,381925
8/27/18,619,619,619,619,1,184,113896
8/24/18,625,625,624.9,594.2,5,8,4999.9
8/20/18,552,552,552,594.2,1,1,552
8/17/18,600,600,600,594.2,1,25,15000
8/16/18,600,600,600,594.2,1,25,15000
8/15/18,550,550,550,594.2,1,9,4950
8/14/18,550,550,550,594.2,1,1,550
8/10/18,576.1,576.1,530,594.2,4,7,3811.2
8/6/18,575.5,575.5,575.5,594.2,1,6,3453
7/26/18,595,595,575,594.2,3,213,126575
7/25/18,595,595,595,594.8,1,25,14875
7/23/18,595,595,590,594.8,4,203,120735
7/20/18,599,599,599,600,3,35,20965
7/18/18,600,600,600,600,1,275,165000
7/13/18,600,600,600,599,5,27,16200
7/6/18,595,600,595,599,2,125,74875
7/4/18,587,587,587,596,1,2,1174
6/29/18,600,600,590,596,3,250,149000
6/28/18,585,600,585,600,3,116,69585
6/25/18,600,600,600,600,3,245,147000
6/22/18,600,600,600,600,1,500,300000
6/21/18,600,600,600,600,3,14,8400
6/20/18,614,615,614,600,6,20,12297
6/19/18,614,614,614,600,2,27,16578
6/18/18,584,584,584,600,1,1,584
6/14/18,614,614,614,600,1,1,614
6/13/18,600,600,600,600,10,248,148800
6/7/18,582.1,582.1,582,582.1,2,202,117584
6/6/18,580,600,580,561,4,31,18215
6/5/18,581,600,580,561,6,9,5244
6/4/18,600,601,600,561,4,36,21601
5/30/18,630,630,600,561,3,3,1860
5/28/18,570,570,570,561,2,50,28500
5/11/18,561,561,561,561,1,300,168300
5/10/18,554,554,554,555,3,20,11080
5/9/18,575,575,575,555,2,4,2300
4/26/18,560,560,560,555,1,2,1120
4/24/18,555,555,555,555,2,100,55500
4/18/18,610,610,610,554.9,1,1,610
4/17/18,570,570,570,554.9,1,1,570
4/16/18,600,600,599,554.9,2,15,8995
4/10/18,616.5,616.5,616.5,554.9,1,1,616.5
4/6/18,560.5,560.5,560.5,554.9,1,1,560.5
4/5/18,618.5,618.5,618.5,554.9,1,1,618.5
4/4/18,556,556,556,554.9,1,1,556
3/29/18,560,560,560,554.9,1,9,5040
3/27/18,617,617,617,554.9,1,25,15425
3/22/18,550,555,550,554.9,6,4384,2431620
3/20/18,540.1,540.1,535,610.2,4,25,13495.4
3/16/18,598.8,600,598.8,610.2,2,3,1798.8
3/14/18,550.1,559.9,550.1,610.2,2,2,1110
3/13/18,595,600,595,610.2,2,5,2995
3/12/18,610,620,610,610.2,4,102,62240
3/8/18,590,590,590,580.1,1,21,12390
3/7/18,582.6,582.6,582.6,580.1,1,3,1747.8
3/6/18,585,610.2,580.5,580.1,9,80,47540
3/5/18,599,599,570,580.1,10,389,225710.5
2/27/18,541,541,540,540.9,4,169,91417
2/15/18,532,534,531,531.8,9,156,82968
2/14/18,530,530,530,550,1,4,2120
2/12/18,560,560,550,550,6,32,17646
2/8/18,555,555,555,550,1,1,555
2/7/18,565,565,565,550,1,4,2260
